sentence,label,sentiment score
"The impoverished conditions in the economy warranted immediate and coordinated policy initiatives by the Government 
and the Central Bank to preempt a further escalation of the situation.",Neutral,0.4324821260281023
"Although the corrective measures affected the vast citizenry in the near term, they were necessary to safeguard the economy and economic agents from 
potentially devastating consequences of unrestrained economic instability, such as hyperinflation, collapse of economic activity to a much deeper level, and a complete disconnect of the country from the rest of the world, with far worse consequences to the people and businesses.",Neutral,0.44682534272916064
"The country managed to transition to a workable equilibrium in the near term, focused on restoring socio-economic stability, while the envisaged assistance from the international financial institutions begins to materialise.",Very Negative,0.08384454129888164
"Having run an unsustainable macroeconomic model in tandem with the longstanding deficits in the budget balance and the external current account, the economy had fully exhausted its buffers by early 2022 as it was straddled by a myriad of vulnerabilities that emanated from both global and domestic sources.",Very Positive,0.9571620028736612
"Several inherent 
weaknesses of the economy, further exacerbated by policy lapses, steered the country towards a multifaceted 
disaster.",Neutral,0.4939518979450441
"Ill-timed tax reductions, an ill-equipped attempt to swiftly adopt organic agriculture, the depletion of the country’s official reserves amidst futile attempts to maintain an untarnished debt servicing record, the delay in the exchange rate adjustment, and the failure to pay heed to several early warning signals caused tremendous shockwaves across the economy.",Neutral,0.46479957965039076
"Consequently, the economy was battered by excessive balance of payments (BOP) pressures with acute shortage of foreign exchange liquidity and pressured exchange rate, spiralling inflation and dampened economic activity amidst mass loss of livelihoods, large fiscal imbalances, public debt reaching unsustainable levels with extraordinarily high risk premia, devastating sovereign rating downgrades that constrained access to external finance, unprecedented heightening of socio-economic and socio-political tensions, and rapidly deteriorating business confidence, among others.",Very Positive,0.9038661563928024
"Businesses and the 
general public alike were in severe distress amidst shortages and rationing of essentials, the ballooning cost 
of living and cost of production, and the loss of welfare and livelihoods.",Positive,0.6305306636977647
"Consequently, the rapid unfolding of social unrest resulted in political instability, warranting an urgent need for redefining policy priorities to steer the economy away from further turmoil.",Neutral,0.41929704008122415
"Amidst mounting BOP pressures, the exchange rate was allowed a measured adjustment in early March 
2022.",Positive,0.6763910678173727
"However, the subsequent floating of the exchange rate resulted in an overshooting, fuelled by speculative activity.",Negative,0.3601728455306227
"The Central Bank adopted aggressive monetary policy tightening in April 2022 to rein in demand pressures, complemented by a robust communication strategy aimed at anchoring inflation expectations, 
while taking measures to stabilise the exchange rate amidst exhausted levels of useable reserves by April 1
EcOnOmic, PricE  and Financial SySTEm 
STabiliTy, OuTlOOk and POliciES",Very Negative,0.19621047097235356
"Meanwhile, the Central Bank provided foreign exchange to the market to meet the demand for essential 
imports to the greatest extent possible amidst a dearth of foreign exchange inflows and significantly low levels 
of official reserves.",Very Negative,0.18993592462748177
"Moreover, the Central Bank initiated measures to prioritise essential imports and restrict 
capital outflows through appropriate control measures, while continuing the requirement for the mandatory 
sale of foreign exchange to the Central Bank by licensed banks, based on the conversion of repatriated foreign exchange, and commenced providing daily guidance on the exchange rate to curtail undue intraday volatilities.",Negative,0.37030048846366403
"Moreover, the Central Bank’s continuous financial sector oversight and adoption of appropriate 
regulatory measures along with effective communication ensured financial system stability amidst severe 
socio-economic distress.",Negative,0.34426339843238096
"The Government initiated measures in early 2022 to seek assistance from the International Monetary 
Fund (IMF) after months of indecisiveness.",Positive,0.7051882726834037
"The IMF had already assessed that Sri Lanka’s public debt had reached unsustainable levels, hence, any funding assistance from the IMF needed to be preceded by efforts to restructure public debt.",Neutral,0.4082990056085768
"Subsequently, when it reached a critical point of inability to service debt payments, the 
Government announced a debt standstill in mid-April 2022, thereby suspending the servicing of external debt, 
mainly bilateral and commercial debt, as an interim measure, while soliciting support from official and private 
creditors to restructure outstanding debt.",Neutral,0.4915413622476521
"Simultaneously, several initiatives were made by the Government 
to enhance government revenue, curtail expenditure, introduce reforms to major State Owned Enterprises 
(SOE), implement import controls, and ration energy supply, while exploring bridging finance from bilateral and multilateral partners for essential expenditures as well as supporting the most vulnerable segments.",Positive,0.6074938323013547
"In September 2022, a staff level agreement was reached for an Extended Fund Facility (EFF) from the IMF, followed by efforts to secure financing assurances from official creditors towards the restructuring of debt, in line with the debt sustainability targets envisaged under the IMF-EFF supported programme.",Very Positive,0.8599525781515688
"In March 
2023, the Executive Board of the IMF approved the EFF supported programme of 48-months, amounting to 
approximately US dollars 3 billion, along with an economic adjustment programme that was aimed at putting  
Sri Lanka back on a recovery path, while addressing structural impediments that constrained the country’s growth potential over the past decades.",Negative,0.29628115094983676
"With a multitude of goals to be achieved under the IMF-EFF arrangement, restoring public debt sustainability through the debt restructuring process will be one of the key milestones in the path towards attaining a sustained growth in the economy.",Very Negative,0.0447199235557052
"However, debt restructuring could pose near term challenges in the financial sector that need to be addressed proactively by the Government and Central Bank, thereby reinforcing the financial system stability in the period ahead.",Very Positive,0.8251984489721699
