sentence,label
"The impoverished conditions in the economy warranted immediate and coordinated policy initiatives by the Government 
and the Central Bank to preempt a further escalation of the situation.",Fiscal Policy
"Although the corrective measures affected the vast citizenry in the near term, they were necessary to safeguard the economy and economic agents from 
potentially devastating consequences of unrestrained economic instability, such as hyperinflation, collapse of economic activity to a much deeper level, and a complete disconnect of the country from the rest of the world, with far worse consequences to the people and businesses.",Monetary Policy
"The country managed to transition to a workable equilibrium in the near term, focused on restoring socio-economic stability, while the envisaged assistance from the international financial institutions begins to materialise.",International Trade
"Having run an unsustainable macroeconomic model in tandem with the longstanding deficits in the budget balance and the external current account, the economy had fully exhausted its buffers by early 2022 as it was straddled by a myriad of vulnerabilities that emanated from both global and domestic sources.",Fiscal Policy
"Several inherent 
weaknesses of the economy, further exacerbated by policy lapses, steered the country towards a multifaceted 
disaster.",Fiscal Policy
"Ill-timed tax reductions, an ill-equipped attempt to swiftly adopt organic agriculture, the depletion of the country’s official reserves amidst futile attempts to maintain an untarnished debt servicing record, the delay in the exchange rate adjustment, and the failure to pay heed to several early warning signals caused tremendous shockwaves across the economy.",Monetary Policy
"Consequently, the economy was battered by excessive balance of payments (BOP) pressures with acute shortage of foreign exchange liquidity and pressured exchange rate, spiralling inflation and dampened economic activity amidst mass loss of livelihoods, large fiscal imbalances, public debt reaching unsustainable levels with extraordinarily high risk premia, devastating sovereign rating downgrades that constrained access to external finance, unprecedented heightening of socio-economic and socio-political tensions, and rapidly deteriorating business confidence, among others.",Exchange Rates
"Businesses and the 
general public alike were in severe distress amidst shortages and rationing of essentials, the ballooning cost 
of living and cost of production, and the loss of welfare and livelihoods.",Inflation
"Consequently, the rapid unfolding of social unrest resulted in political instability, warranting an urgent need for redefining policy priorities to steer the economy away from further turmoil.",Unclassified
"Amidst mounting BOP pressures, the exchange rate was allowed a measured adjustment in early March 
2022.",Exchange Rates
"However, the subsequent floating of the exchange rate resulted in an overshooting, fuelled by speculative activity.",Exchange Rates
"The Central Bank adopted aggressive monetary policy tightening in April 2022 to rein in demand pressures, complemented by a robust communication strategy aimed at anchoring inflation expectations, 
while taking measures to stabilise the exchange rate amidst exhausted levels of useable reserves by April 1
EcOnOmic, PricE  and Financial SySTEm 
STabiliTy, OuTlOOk and POliciES",Monetary Policy
"Meanwhile, the Central Bank provided foreign exchange to the market to meet the demand for essential 
imports to the greatest extent possible amidst a dearth of foreign exchange inflows and significantly low levels 
of official reserves.",Monetary Policy
"Moreover, the Central Bank initiated measures to prioritise essential imports and restrict 
capital outflows through appropriate control measures, while continuing the requirement for the mandatory 
sale of foreign exchange to the Central Bank by licensed banks, based on the conversion of repatriated foreign exchange, and commenced providing daily guidance on the exchange rate to curtail undue intraday volatilities.",Monetary Policy
